DATE,SP500_PCH
2014-11-01,5.53859
2014-12-01,0.47415
2015-01-01,-1.26994
2015-02-01,2.66334
2015-03-01,-0.10591
2015-04-01,0.71502
2015-05-01,0.81536
2015-06-01,-0.59944
2015-07-01,-0.24485
2015-08-01,-2.59187
2015-09-01,-4.67991
2015-10-01,4.13548
2015-11-01,2.75600
2015-12-01,-1.27544
2016-01-01,-6.59574
2016-02-01,-0.73905
2016-03-01,6.17173
2016-04-01,2.64997
2016-05-01,-0.48105
2016-06-01,0.88792
2016-07-01,3.11967
2016-08-01,1.32999
2016-09-01,-0.90890
2016-10-01,-0.67989
2016-11-01,1.02494
2016-12-01,3.77108
2017-01-01,1.26799
2017-02-01,2.40843
2017-03-01,1.58425
2017-04-01,-0.31742
2017-05-01,1.52741
2017-06-01,1.61311
2017-07-01,0.82651
2017-08-01,0.08641
2017-09-01,1.49082
2017-10-01,2.57362
2017-11-01,1.43170
2017-12-01,2.72728
2018-01-01,4.70898
2018-02-01,-3.03421
2018-03-01,-0.08803
2018-04-01,-1.81845
2018-05-01,1.80389
2018-06-01,1.95667
2018-07-01,1.42649
2018-08-01,2.29725
2018-09-01,1.52844
2018-10-01,-3.99916
2018-11-01,-2.23429
2018-12-01,-5.72563
2019-01-01,1.56127
2019-02-01,5.65601
2019-03-01,1.78301
2019-04-01,3.55980
2019-05-01,-1.69068
2019-06-01,1.24216
2019-07-01,3.66580
2019-08-01,-3.29145
2019-09-01,2.92176
2019-10-01,-0.15025
2019-11-01,4.27277
2019-12-01,2.31392
2020-01-01,3.19362
2020-02-01,-0.02711
2020-03-01,-19.06807
2020-04-01,4.13142
2020-05-01,5.70750
2020-06-01,6.33802
2020-07-01,3.31625
2020-08-01,5.73918
2020-09-01,-0.77228
2020-10-01,1.58028
2020-11-01,3.81113
2020-12-01,4.12279
2021-01-01,2.66387
2021-02-01,2.36399
2021-03-01,0.69722
2021-04-01,5.89867
2021-05-01,0.64410
2021-06-01,1.69488
2021-07-01,2.95443
2021-08-01,2.07377
2021-09-01,-0.19449
2021-10-01,0.34110
2021-11-01,4.63334
2021-12-01,0.15825
2022-01-01,-2.15962
2022-02-01,-3.01357
2022-03-01,-1.00801
2022-04-01,0.00070
2022-05-01,-7.99163
2022-06-01,-3.50002
2022-07-01,0.32785
2022-08-01,6.31009
2022-09-01,-7.40743
2022-10-01,-3.23254
2022-11-01,5.13782
2022-12-01,-0.13038
2023-01-01,1.23392
2023-02-01,3.00527
2023-03-01,-2.72388
2023-04-01,3.85299
2023-05-01,0.59944
2023-06-01,4.80442
2023-07-01,3.74427
2023-08-01,-1.12502
2023-09-01,-1.08279
2023-10-01,-3.16832
2023-11-01,4.46579
2023-12-01,5.04451
2024-01-01,2.54938
2024-02-01,4.31825
2024-03-01,3.16465
2024-04-01,-1.12328
2024-05-01,2.40064
2024-06-01,3.43663
2024-07-01,2.26890
2024-08-01,-1.07963
